mine_name,country,latitude,longitude,confidence,source
Yerington West-Roulette,"USA, Nevada",,,none,none
Yilgarn Star,Australia,,,none,none
Ying Mining District,China (Henan Province),,,none,none
Young-Davidson,Canada,47.950119,-80.685336,high,nominatim
Yuantong Mining,China,,,none,none
Yumpag,Peru,,,none,none
Zacualpan,Mexico,18.714286,-99.79303,medium,nominatim
Zaldívar,Chile,-24.186264,-69.06172,high,nominatim
Zaozigou Gold Mine,China,,,none,none
Zaruma,Ecuador,-3.511194,-79.513174,medium,nominatim
Zeravshan (Jilau and Taror),Tajikistan,,,none,none
Zgounder,Morocco,,,none,none
Zhaojin Baiyun,China,,,none,none
Zhaojin Beijiang,China,,,none,none
Zhaojin Kunhe,China,,,none,none
Zhuanshanzi Gold Mine,China,,,none,none
Zimapan,Mexico,20.762218,-99.38314,medium,nominatim
Zinkgruvan,Sweden,58.815919,15.107474,high,nominatim
Çukuralan (via Türk Altın),Türkiye,,,none,none
Çukuralan,Türkiye,39.79957,43.109538,medium,nominatim
Çöpler,Türkiye,39.449872,38.533695,medium,nominatim
Éléonore,Canada,52.702801,-76.069122,high,nominatim
Öksüt,Türkiye,38.248376,35.467028,medium,nominatim
Özdemir Antimuan (Turhal),Türkiye,,,none,none
Čukaru Peki (Serbia Zijin Mining),Serbia,,,none,none
