mine_name,country,latitude,longitude,confidence,source
Garpenberg,Sweden,60.315784,16.198304,medium,nominatim
Garrison Mine,"Kirkland Lake, Canada",,,none,none
Garrison,Canada,49.70926,-54.058571,medium,nominatim
Gaspe Copper,Canada,,,none,none
Gavilanes,Mexico (Durango),22.079764,-104.586132,medium,nominatim
GC Mine (Gaocheng),China (Guangdong Province),,,none,none
Gediktepe Oxide / Sulfide,Türkiye,,,none,none
Geita,Tanzania,-2.821617,32.267423,high,nominatim
Gerry Lake,"Canada, Ontario",48.208861,-80.503033,medium,nominatim
Gibraltar,Canada,52.535028,-122.278465,high,nominatim
Gidginbung,Australia,-34.331667,147.467778,medium,nominatim
Glenburgh Gold Project,Australia,,,none,none
Glen,Australia,-37.628652,143.680096,high,nominatim
Gold Bar Mine Complex,USA,,,none,none
Gold Bar South – Afgan,Nevada,,,none,none
Gold Bar South – Afgan,"USA, Nevada",,,none,none
