ticker,company,price_usd,price_as_of,market_cap_usd,shares_outstanding,revenue_usd,ebitda_usd,net_income_usd,total_debt_usd,cash_usd,net_debt_usd,fiscal_year,financial_source,notes
MUX,McEwen Inc,19.02,2026-09-25,,,197600000.0,29200000.0,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 mux-2025-10k.pdf,currency corrected to USD (US 10-K filer; parser picked MXN from risk-factor prose); EBITDA figure is Adjusted EBITDA; market cap not computed: shares outstanding undisclosed
NCX,NorthIsle Copper and Gold Inc.,3.0052,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 4.25 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
NEM,Newmont Corporation,121.43,2026-09-25,,,22669000000.0,,7167000000.0,,7647000000.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 newmont-2025-10k.pdf,market cap not computed: shares outstanding undisclosed
NEWP,New Pacific Metals Corp.,6.62,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),report not obtained; market cap not computed: shares outstanding undisclosed
NEXG,NexGold Mining Corp.,1.0677,2026-09-25,,,,,-3447804.0,119134.0,7415084.0,-7295950.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 nexg-2025-fs.pdf,"price 1.51 CAD converted at 0.7071 USD/CAD; statements in CAD; FX 0.7071 USD/CAD (Yahoo CADUSD=X=0.7071, 2026-09-25); debt: sum of debt line items: Current portion of lease liability 115,969 109,951; Non-current liabilities Long-term portion of lease; market cap not computed: shares outstanding undisclosed"
NFG,New Found Gold Corp.,1.987,2026-08-25,,,,,,,,,2025,Yahoo Finance quote (2026-08-25),price 2.81 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
NG,NOVAGOLD Resources Inc.,7.13,2026-09-25,2901871006.0,406994531,,,,,110143000.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 novagold-2025-10k.pdf,market cap computed as price x shares outstanding
NGD,New Gold Inc.,,,,,,,,,,,2025,,delisted March 2026; no quote; no financial statements found
NIX,NorthX Nickel Corp.,0.1485,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 0.21 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
NMG,New Murchison Gold Limited,0.0555,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24),price 0.079 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
NST,Northern Star Resources Ltd,15.5411,2026-09-24,,,5358.0,15463800000.0,1170.0,1212.0,716.0,497.0,2026,Yahoo Finance quote (2026-09-24) + FY2026 nst-2026.txt,"price 22.11 AUD converted at 0.7029 USD/AUD; statements in AUD; FX 0.7029 USD/AUD (Yahoo AUDUSD=X=0.7029, 2026-09-25); EBITDA figure is EBITDA; debt: sum of debt line items: Borrowings 208.8 128.2; Lease liabilities 105.0 119.6; Non-current liabilities Borrowings 1,186.5 1,133.5; Lease liabilities 224.4 328.9; market cap not computed: shares outstanding undisclosed"
OBM,Ora Banda Mining Ltd,1.086,2026-09-24,,,567591047.0,151966980.0,151963466.0,25144139.0,188169142.0,-163025003.0,2026,Yahoo Finance quote (2026-09-24) + FY2026 obm-2026.txt,"price 1.545 AUD converted at 0.7029 USD/AUD; statements in AUD; FX 0.7029 USD/AUD (Yahoo AUDUSD=X=0.7029, 2026-09-25); EBITDA figure is EBITDA; debt: sum of debt line items: Lease liabilities 28,772 23,776; Borrowings 4,000; Non-current liabilities Lease liabilities 3,000 12; market cap not computed: shares outstanding undisclosed"
OGC,OceanaGold Corporation,28.1991,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 oceanagold-2025-q4-mda.txt,price 39.88 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
OGG,Osisko Gold Group Inc.,2.8143,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 3.98 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
OGN,Orogen Royalties Inc.,3.4153,2026-09-25,,,2149719.0,3856588.0,,5082414.0,5594577.0,-512163.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 orogen-2025-fs.pdf,"price 4.83 CAD converted at 0.7071 USD/CAD; statements in CAD; FX 0.7071 USD/CAD (Yahoo CADUSD=X=0.7071, 2026-09-25); EBITDA figure is operating income (EBITDA undisclosed); debt: sum of debt line items: Short term lease liabilities 70,022 64,112; Non-current Liabilities Long term lease liabilitie; market cap not computed: shares outstanding undisclosed"
OLA,Orla Mining Ltd.,9.5176,2026-08-04,,,,,,,,,2025,Yahoo Finance quote (2026-08-04) + FY2025 orla-mda-2025.pdf,price 13.46 CAD converted at 0.7071 USD/CAD; statement currency not identified; USD figures blank; market cap not computed: shares outstanding undisclosed
OM,Osisko Metals Incorporated,1.2657,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 1.79 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
OMG,Omai Gold Mines Corp.,1.789,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 2.53 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
OR,OR Royalties Inc.,35.78,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 or-2025-mda.txt,"statements in CAD; FX 0.7071 USD/CAD (Yahoo CADUSD=X=0.7071, 2026-09-25); market cap not computed: shares outstanding undisclosed"
ORE,Orezone Gold Corporation,2.2839,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 oreone-2025-mda.txt,price 3.23 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
PAAS,Pan American Silver Corp.,48.04,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 paas-2025-mda.txt,no financial statements found; market cap not computed: shares outstanding undisclosed
PAF,Pan African Resources PLC,1.6347,2026-09-25,,,,226600000.0,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 panafrican-2025-integrated-report.pdf,"price quoted in GBp (pence); debt/cash blanked (statement units not labeled; figures likely in thousands but unverifiable); EBITDA figure is Adjusted EBITDA; debt: sum of debt line items: Borrowings 103,642 123,056 0; Lease liabilities 2,607 2,158 0; Borrowings 86,335 4,729 0; Lease liabilities 1,050 791 0; market cap not computed: shares outstanding undisclosed"
PDI,Predictive Discovery Limited,3.2544,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24),price 4.63 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
PE&OLES,"Industrias Peñoles, S.A.B. de C.V.",50.9677,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 900.49 MXN converted at 0.0566 USD/MXN; report not obtained; market cap not computed: shares outstanding undisclosed
PML,Panoro Minerals Ltd.,1.1667,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 1.65 CAD converted at 0.7071 USD/CAD; no PDF or text file in report folder; market cap not computed: shares outstanding undisclosed
PNR,Pantoro Gold Limited,2.0665,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24),price 2.94 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
PPTA,Perpetua Resources Corp.,23.49,2026-09-25,1650561260.0,70266550,,1347000000.0,-14483000.0,244000.0,714171000.0,-713927000.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 perpetua-2025-10k.pdf,EBITDA figure is EBITDA; debt: sum of debt line items: Lease liabilities 88 28; Lease liabilities 156 0; market cap computed as price x shares outstanding
PRU,Perseus Mining Limited,4.6602,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24) + FY2026 pru-2026.txt,price 6.63 AUD converted at 0.7029 USD/AUD; no financial statements found; market cap not computed: shares outstanding undisclosed
PSAB,PT J Resources Asia Pasifik Tbk,0.0535,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 jresources-ar-2023.pdf,"price 535.0 IDR converted at 0.0001 USD/IDR; fundamentals blanked: Indonesian-format statements (dot thousand-separators), unreliable extraction; debt: sum of debt line items: Liabilitas Liabilities Pinjaman bank jangka pendek; Liabilitas sewa 632.133 283.694 638.312 1.554.139; Pinjaman bank jangka panjang 100.489.103 48.690.33; Liabilitas Liabilities Pinjaman bank jangka pendek; Liabilitas sewa 3.867.491 347.251 4.214.742 4.072.; Pinjaman bank jangka panjang 6.000.000 65.475.812; market cap not computed: shares outstanding undisclosed"
PZG,Paramount Gold Nevada Corp.,1.31,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 pzg-2025-10k.pdf,market cap not computed: shares outstanding undisclosed
RGLD,"Royal Gold, Inc.",252.49,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 royal-gold-2025-10k.pdf,market cap not computed: shares outstanding undisclosed
RIO,Rio2 Limited,2.5526,2026-09-25,,,,,,298000.0,46375000.0,-46077000.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 rio2-2025-financials.pdf,price 3.61 CAD converted at 0.7071 USD/CAD; debt: sum of debt line items: Lease liability $ 152 $ 143; Lease liability 146; market cap not computed: shares outstanding undisclosed
RMS,Ramelius Resources Limited,2.7202,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24) + FY2026 rms-2026.txt,price 3.87 AUD converted at 0.7029 USD/AUD; no financial statements found; market cap not computed: shares outstanding undisclosed
RRL,Regis Resources Limited,5.4264,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24),price 7.72 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
RSG,Resolute Mining Limited,0.8575,2026-09-24,,,,,,,44.0,,2025,Yahoo Finance quote (2026-09-24) + FY2025 rsg-2025.txt,"price 1.22 AUD converted at 0.7029 USD/AUD; currency corrected to AUD; net income/debt blanked (parser grabbed retained-earnings and lease-note lines); statements in AUD; FX 0.7029 USD/AUD (Yahoo AUDUSD=X=0.7029, 2026-09-25); debt: sum of debt line items: Lease liabilities 0.5 3.1; Lease liabilities 6.4 6.2; market cap not computed: shares outstanding undisclosed"
SA,Seabridge Gold Inc.,30.3,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),no PDF or text file in report folder; market cap not computed: shares outstanding undisclosed
SAND,Sandstorm Gold Ltd.,,,,,,,,,,,2024,,"delisted Oct 20, 2025 (acquired by Royal Gold); no quote; no financial statements found"
SBM,St Barbara Limited,0.5764,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24),price 0.82 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
SCZ,Santacruz Silver Mining Ltd.,8.9519,2026-09-18,,,,,,,,,2025,Yahoo Finance quote (2026-09-18) + FY2025 scz.txt,price 12.66 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
SGD,Snowline Gold Corp.,,,,,,,,,,,2025,FY2025 snowline-2025-mda.pdf (no market quote),statement currency not identified; USD figures blank
SIND,Sinda Ltd.,13.94,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),report not obtained; market cap not computed: shares outstanding undisclosed
SKE,Skeena Gold + Silver,31.71,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 skeena-aif-2025.pdf,no financial statements found; market cap not computed: shares outstanding undisclosed
SLVR,Silver Tiger Metals Inc.,,,,,,,,,,,2025,,no Yahoo quote (TSX-V:SLVR not returned by Yahoo); report not obtained
SM,Sierra Madre Gold and Silver Ltd.,1.0606,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 sm-2025-mda.pdf,price 1.5 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
SMI,Santana Minerals Limited,0.3936,2026-09-24,,,,,,,,,2025,Yahoo Finance quote (2026-09-24),price 0.56 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
SOSI,Sotkamo Silver AB,0.1689,2024-07-23,,,,,,,,,2025,Yahoo Finance quote (2024-07-23) + FY2025 sotkamo-2025.txt,price 1.674 SEK converted at 0.1009 USD/SEK; statement currency not identified (parser guessed USD); USD figures blank; statement currency not identified; USD figures blank; EBITDA figure is EBITDA; debt: sum of debt line items: Derivative instruments 28 0.0 0.0 Interest-bearing; Current liabilities Interest-bearing liabilities 1; Current lease liabilities 17 2.9 3.8; market cap not computed: shares outstanding undisclosed
SSMR,Sunshine Silver Mining & Refining Company,,,,,,,,,,,,,unlisted; no quote; report not obtained
SSRM,SSR Mining Inc.,35.68,2026-09-25,,,,461442000.0,362417000.0,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 ssrm-2025-10k.pdf,EBITDA figure is operating income (EBITDA undisclosed); market cap not computed: shares outstanding undisclosed
SVL,Silver Mines Limited,0.1019,2026-09-24,,,,,,,,,2025,Yahoo Finance quote (2026-09-24),price 0.145 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
SVM,Silvercorp Metals Inc.,11.34,2026-09-25,,,438135000.0,238100000.0,32922000.0,118393000.0,421989000.0,-303596000.0,2026,Yahoo Finance quote (2026-09-25) + FY2026 silvercorp-2026-40f.pdf,"EBITDA figure is Adjusted EBITDA; debt: sum of debt line items: Current portion of lease obligation 286 278; Current portion of convertible notes 2,069 2,460; Non-current Liabilities Long-term portion of lease; Long-term portion of convertible notes 115,156 108; market cap not computed: shares outstanding undisclosed"
SVRS,Silver Storm Mining Ltd.,0.35,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 0.495 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
SXGC,Southern Cross Gold Consolidated Ltd.,8.6054,2026-09-25,,,,,,,,,2026,Yahoo Finance quote (2026-09-25),price 12.17 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
TALA,Talamore Mining Corp.,6.1376,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 8.68 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
TAU,Thesis Gold & Silver Inc.,2.4678,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 3.49 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
TCG,Turaco Gold Limited,0.6115,2026-09-24,,,,,,,47852130.0,,2025,Yahoo Finance quote (2026-09-24) + FY2025 ar-text.txt,"price 0.87 AUD converted at 0.7029 USD/AUD; statements in AUD; FX 0.7029 USD/AUD (Yahoo AUDUSD=X=0.7029, 2026-09-25); market cap not computed: shares outstanding undisclosed"
TFPM,Triple Flag Precious Metals Corp.,32.166,2026-09-25,,,118916000.0,65320000.0,76832000.0,1463.0,71284.0,-69821.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 tfpm-2025-annual.txt,"price 45.49 CAD converted at 0.7071 USD/CAD; EBITDA figure is operating income (EBITDA undisclosed); debt: sum of debt line items: Lease obligation 379 318; Lease obligation 1,084 1,373; market cap not computed: shares outstanding undisclosed"
ITH,International Tower Hill Mines Ltd.,2.793,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 3.95 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
TLG,Troilus Gold Corp.,1.5273,2026-09-25,,,,,-24231026.0,18174924.0,17735469.0,439456.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 troilus-2025-fs.pdf,"price 2.16 CAD converted at 0.7071 USD/CAD; statements in CAD; FX 0.7071 USD/CAD (Yahoo CADUSD=X=0.7071, 2026-09-25); debt: sum of debt line items: Current portion of lease liabilities 12812,210 349; Long-term portion of lease liabilities 12891,261 6; market cap not computed: shares outstanding undisclosed"
TMQ,Trilogy Metals Inc,3.2,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 tmq-2025-10k.pdf,market cap not computed: shares outstanding undisclosed
TRALT,Türk Altın İşletmeleri A.Ş.,1.0167,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 tralt-2025.txt,price 49.84 TRY converted at 0.0204 USD/TRY; no financial statements found; market cap not computed: shares outstanding undisclosed
TRMET,TR Anadolu Metal Madencilik İşletmeleri A.Ş.,2.8642,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 trmet-2025.txt,price 140.4 TRY converted at 0.0204 USD/TRY; no financial statements found; market cap not computed: shares outstanding undisclosed
TRX,TRX Gold Corporation,1.29,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 trx-2025-ye-results.txt,no financial statements found; market cap not computed: shares outstanding undisclosed
TUD,Tudor Gold Corp.,0.6222,2026-09-25,,,,,,,649478.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 tud-2025-mda.pdf,"price 0.88 CAD converted at 0.7071 USD/CAD; statements in CAD; FX 0.7071 USD/CAD (Yahoo CADUSD=X=0.7071, 2026-09-25); market cap not computed: shares outstanding undisclosed"
TXG,Torex Gold Resources Inc.,50.5435,2026-09-25,,,1305600000.0,260423500.0,166800000.0,120.0,31.0,88.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 torex-mda-fy2025.pdf,price 71.48 CAD converted at 0.7071 USD/CAD; EBITDA figure is EBITDA; debt: sum of debt line items: $119.5 million and undrawn capacity on the Debt Fa; market cap not computed: shares outstanding undisclosed
USA,Americas Gold and Silver Corporation,4.8154,2026-09-25,,,117934000.0,,,,129783000.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 usa-2025-q4fs.pdf,price 6.81 CAD converted at 0.7071 USD/CAD; market cap not computed: shares outstanding undisclosed
USAU,U.S. Gold Corp,15.59,2026-09-25,,,0.0,,,96223.0,30655391.0,-30559168.0,2026,Yahoo Finance quote (2026-09-25) + FY2026 usau-2026-10k.pdf,"debt: sum of debt line items: Operating lease liabilities, current portion 59,47; Operating lease liabilities, less current portion; market cap not computed: shares outstanding undisclosed"
USL,Unico Silver Limited,0.5096,2026-09-24,,,,,,,,,2025,Yahoo Finance quote (2026-09-24),price 0.725 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
VAL,Valterra Platinum Limited,80.7425,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price quoted in ZAc (cents); report not obtained; market cap not computed: shares outstanding undisclosed
VAU,Vault Minerals Limited,4.4634,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24) + FY2026 vau-2026-rr.txt,price 6.35 AUD converted at 0.7029 USD/AUD; no financial statements found; market cap not computed: shares outstanding undisclosed
VGC,Valor Gold Corp.,2.6304,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 3.72 CAD converted at 0.7071 USD/CAD; report not obtained; market cap not computed: shares outstanding undisclosed
VGCX,Victoria Gold Corp.,,,,,,,,,,,2025,,no Yahoo quote: HTTPError: HTTP Error 404: Not Found; report not obtained
VGZ,Vista Gold Corp.,2.75,2026-09-25,,,,,-7499000.0,,13622000.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 vista-2025-10k.pdf,market cap not computed: shares outstanding undisclosed
VMET,Versamet Royalties Corp.,9.15,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),no PDF or text file in report folder; market cap not computed: shares outstanding undisclosed
VOLCABC1,Volcan Compañía Minera S.A.A.,,2019-06-28,,,,,,,,,2025,,report not obtained
VOXR,Vox Royalty Corp.,5.44,2026-09-25,371905301.0,68364945,12041000.0,1582000.0,,,8085000.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 vox-2025-40f.txt,EBITDA figure is operating income (EBITDA undisclosed); market cap computed as price x shares outstanding
VZLA,Vizsla Silver Corp.,3.9527,2026-09-25,1387465501.0,351018130,,,-38685000.0,237355000.0,427310000.0,-189955000.0,2026,Yahoo Finance quote (2026-09-25) + FY2026 vzla-2026-40f.pdf,"price 5.59 CAD converted at 0.7071 USD/CAD; debt: sum of debt line items: Non-current liabilities Convertible notes 237,355; market cap computed as price x shares outstanding"
WAF,West African Resources Limited,2.4742,2026-09-24,,,,,,,,,2025,Yahoo Finance quote (2026-09-24),price 3.52 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
WDO,Wesdome Gold Mines Ltd.,25.8869,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 wesdome-mda-2025.pdf,price 36.61 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
WGX,Westgold Resources Limited,3.8378,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24) + FY2026 wgx-june2026.txt,price 5.46 AUD converted at 0.7029 USD/AUD; no financial statements found; market cap not computed: shares outstanding undisclosed
WPM,Wheaton Precious Metals Corp.,142.92,2026-09-25,,,2314600000.0,1581641000.0,1471720000.0,7905000.0,1153593000.0,-1145688000.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 wheaton-2025-mda.pdf,"EBITDA figure is operating income (EBITDA undisclosed); debt: sum of debt line items: Current portion of lease liabilities 575 262; Lease liabilities 7,330 4,909; market cap not computed: shares outstanding undisclosed"
WRLG,West Red Lake Gold Mines Ltd.,0.5657,2026-09-25,,,73141717.0,,354257.0,12471830.0,30007910.0,-17536080.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 wrlg-2025-fs.pdf,"price 0.8 CAD converted at 0.7071 USD/CAD; statements in CAD; FX 0.7071 USD/CAD (Yahoo CADUSD=X=0.7071, 2026-09-25); debt: sum of debt line items: Lease liabilities 6,138 1,400; Lease liabilities 11,500 2,435; market cap not computed: shares outstanding undisclosed"
WRN,Western Copper and Gold Corporation,2.32,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),no usable text; market cap not computed: shares outstanding undisclosed
2099.HK,China Gold International Resources Corp. Ltd.,28.3815,2026-09-25,11250816931,396413753,1310125000,683991000,472315000,533439000,399402000,134037000,2025,2025 annual results announcement (HKEX/SEDAR),price Yahoo v8 2099.HK (HKD 222.6); fx HKDUSD=X 0.1275 on 2026-09-25; market cap computed = price x shares outstanding (weighted avg common shares); ebitda field = mine operating earnings (company does not disclose EBITDA); total debt = borrowings (curr 217.004M + non-curr 287.981M) + entrusted loan payable 28.454M per MD&A
2899.HK,Zijin Mining Group Company Limited,4.14375,2026-09-25,110181206699,26589733140,52012783345,12234410193,7714821840,24623889000,9121203668,15502685332,2025,Zijin Mining Group 2025 annual report,"price Yahoo v8 2899.HK (HKD 32.5); fx CNYUSD=X 0.149 and HKDUSD=X 0.1275 on 2026-09-25; market cap computed = price x shares outstanding (26,589,733,140 A+H shares); ebitda field = operating profit RMB82.11B (report does not disclose EBITDA); total debt = consolidated interest-bearing liabilities RMB165.261B"
PX.PS,Philex Mining Corporation,0.19456,2026-09-25,1125023549,5782399000,141671680,40271472,14874976,333708080,70554384,263153696,2025,4Q25 press release (24 Feb 2026),"Yahoo has no PSE:PX quote (PX.PS/PX.PH/PHILEX.PS all not found); price PHP 12.16 = stockanalysis.com PSE:PX at close 2026-09-25; fx PHPUSD=X 0.016 on 2026-09-25; market cap computed = price x shares (P1-par capital stock 5,782,399k); total debt = short-term loans 2.410B + current long-term 0.941B + long-term 17.506B PHP; core net income PHP1.071B (reported net income PHP0.930B used)"
PLZL,Polyus PJSC,,,,,,,,,,,2025,,"sanctioned — no accessible quote; Yahoo PLZL.ME quote stale (last trade 2022-07-08); no accessible FY2025 annual report so all numeric fields blank. Company-disclosed public operating figures for context only (not promoted to fields): per polyus.com FY2025 results (Mar 2026): 2025 refined gold 2,528.8 koz (-16% YoY); revenue US$8.7B (+19%); EBITDA US$6.35B; 2026 guidance 2.5-2.6 Moz. Figures flagged unverified — do not use without an accessible primary source."
