ticker,company,price_usd,price_as_of,market_cap_usd,shares_outstanding,revenue_usd,ebitda_usd,net_income_usd,total_debt_usd,cash_usd,net_debt_usd,fiscal_year,financial_source,notes
BVN,Compañía de Minas Buenaventura S.A.A.,33.17,2026-09-25,,,,,,,529839000.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 buenaventura-ar-2025.pdf,market cap not computed: shares outstanding undisclosed
BYN,Banyan Gold Corp.,1.4001,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 1.98 CAD converted at 0.7071 USD/CAD; no usable text; market cap not computed: shares outstanding undisclosed
CDE,"Coeur Mining, Inc.",19.22,2026-09-25,,,1174931000.0,1025800000.0,585872000.0,,553597000.0,,2025,Yahoo Finance quote (2026-09-25) + FY2025 coeur-2025-10k.txt,"EBITDA figure is Adjusted EBITDA; revenue from summarized guarantor statements (Reg S-X note), not primary consolidated statements; market cap not computed: shares outstanding undisclosed"
CG,Centerra Gold Inc.,40.03,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),report not obtained; market cap not computed: shares outstanding undisclosed
CKG,Chesapeake Gold Corp.,2.1637,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 ckg-2025-mda.pdf,price 3.06 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
CMCL,Caledonia Mining Corporation Plc,23.84,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 cmcl-2025.txt,no financial statements found; market cap not computed: shares outstanding undisclosed
CMM,Capricorn Metals Ltd,10.8247,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24) + FY2026 cmm-ore.txt,price 15.4 AUD converted at 0.7029 USD/AUD; no financial statements found; market cap not computed: shares outstanding undisclosed
CNL,Collective Mining Ltd.,12.8904,2026-09-25,,,,,,14858326.0,129647421.0,-114789095.0,2025,Yahoo Finance quote (2026-09-25) + FY2025 cnl-2025-fs.pdf,"price 18.23 CAD converted at 0.7071 USD/CAD; debt: sum of debt line items: Current portion of lease liability 13722,050 82,79; Lease liability 1,136,276 72,732; market cap not computed: shares outstanding undisclosed"
5TP,CNMC Goldmine Holdings Limited,1.0019,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),price 1.28 SGD converted at 0.7827 USD/SGD; report not obtained; market cap not computed: shares outstanding undisclosed
CTGO,"Contango Ore, Inc.",18.55,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),no PDF or text file in report folder; market cap not computed: shares outstanding undisclosed
CUU,Copper Fox Metals Inc.,0.5091,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 cuu-2025-mda.pdf,price 0.72 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
CYL,Catalyst Metals Limited,4.1401,2026-09-24,,,,,,,,,2026,Yahoo Finance quote (2026-09-24),price 5.89 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
DC,Dakota Gold Corp.,6.61,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25),report not obtained; market cap not computed: shares outstanding undisclosed
DPM,DPM Metals Inc.,44.7877,2026-09-25,,,,,369226000.0,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 dpm-2025-q4-composite.pdf,price 63.34 CAD converted at 0.7071 USD/CAD; market cap not computed: shares outstanding undisclosed
DRD,DRDGOLD Limited,2.5207,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 drd-2025.txt,price quoted in ZAc (cents); no financial statements found; market cap not computed: shares outstanding undisclosed
DSV,Discovery Silver Corp.,8.8529,2026-09-25,,,,,,,,,2025,Yahoo Finance quote (2026-09-25) + FY2025 discovery-silver-2025-aif.pdf,price 12.52 CAD converted at 0.7071 USD/CAD; no financial statements found; market cap not computed: shares outstanding undisclosed
DTR,Dateline Resources Limited,0.0443,2026-09-24,,,,,,,,,2025,Yahoo Finance quote (2026-09-24),price 0.063 AUD converted at 0.7029 USD/AUD; report not obtained; market cap not computed: shares outstanding undisclosed
DV,Dolly Varden Silver Corporation,,,,,,,,,,,2025,,no Yahoo quote (TSX-V:DV not returned by Yahoo); no PDF or text file in report folder
